Total Employees as of 01/2020,Number of Workers Laid Off,Impact Start Date,Why funding is critical to business_analysis
1,1,3/16/2020,"2020 is approx. less $4000; The mandated closure of my gym on March 16th forced me stop all automatic billing for memberships and any payments. We have limited savings as all rent, utilities and supplies had been paid for March. The grant would help with rent, utilities and supplies as well as maintenance for existing equipment that gets serviced and repaired quarterly. Scheduled maintenance for all equipment and repair of a few pieces of equipment have been postponed due to the virus and closure. "
1,0,3/14/2020,"Have cancelled 51 appointments thus far; funds will go towards rent, as well as cover operational expenses"
1,1,3/25/2020,"All income from business has stopped with order; funding is needed for insurance payments, mortgage, utilities"
1,0,3/16/2020,"Contracts will be no completed due to school closure, total loss of work is $13,000; funding needed to expand business and services to students"
9,3,2/23/2020,"Have lost 50% of revenue, expect to lose up to 75%"
0,0,3/16/2020,"White Bluffs Quilt Museum has lost funding due to the COVID-19 and it will take time to recoup those losses. Time we may not have as our expenses continue to accumulate. Most of our membership consists of those over 65 years in age.  Because of this it will take time for those to be active and supportive once again at the museum and having the confidence that they will be safe in the new world that we will be facing. Funds will pay for rent, utilities, marketing."
2,2,3/1/2020,"Loss in revenue is $13.5K; salon is unable to generate revenue, funds will be used for rent, utilities, inventory."
1,1,3/15/2020,"$5K estimated lost revenue, future cancelled events, business completely closed; funding would go towards rent, utilities, insurance, etc"
1,0,3/7/2020,"We have lost 95% of our revenue due to social distancing. We not able to teach at Red Mountain Kitchen and that was our primary revenue, only able to do online sales; funds used for  rent, supplies, utilities, marketing"
1,1,3/16/2020,Likelihood of reopening is diminishing by the day; roughly $2000/week in lost revenue
2,0,3/9/2020,"Funding will be used for rent, utilities"
1,1,3/13/2020,"Revenue down by $8k, full service barbershop, unable to serve customers, closed indefinately.  Funds will pay costs of operation such as Rent, Utilities, Maintenance, and cost of goods."
1,1,3/23/2020,"Revenue down $8K; My business is shut down. I  am not able to see clients and give them treatments such as  micoderms, extractions, facials, etc. No clients can come to my studio because of the shut down. Funds will pay for training, marketing, utilities, supplies and inventory."
1,0,3/15/2020,"Revenue is -$8K, I have not sold one vehicle in the month of April!!  I am virtually getting  NO foot traffic. I had a horrible last quarter and depend heavily on spring time sales. Funds will pay over head bills to keep doors open and provide for my family."
1,0,1/4/2020,"Impacted due to an equipment order from China and the closure of the factories in china that were building the compressor and the evaporator for Intermar Fishing.  This is critical for Intermar to be able to freeze the fish and actually have a season this year. Funds would helpto arrange in-state transportation for the equipment upon its arrival to the port of Seattle, necessary lifting equipment rental in Westport and potential temporary labor to install the equipment on the ship.  It also should help keep the ship loan current."
1,1,3/6/2020,"Unable to procure new clients; funding is critical to market and pursue continued education, desk fees, utilities, vehicle, etc."
1,0,1/31/2020,"Mental Health Services are a very personal service and face to face contact is best practice. So some adults opt out for not receiving treatment.  All in all, in the meantime,  we still have rent and overhead for the office to pay even though we are not currently able to use it. Financially, the impact on the business has been severe.  The number of clients seen at the office has gone down from approximately 12 to 15 per week  to 1 or 2 online.  Our speciality is children and the services for children we offer are provided by a Licensed Mental Health Counselor with a Children's Specialist Certification. This is a certification that very few counselors have.  If the business does not survive it would severely impact our community. Thank you."
1,0,3/9/2020,Revenue down 11.55%; Revenue loss will be greater going forward in Q2 and beyond as booking levels are already down 45%; funds will be used for operating expenses
2,2,3/5/2020,"With the stay-at-home order, we are not able to provide any services at this time. We only offer services and do not sell any products so the mandatory stay-at-home order has reduced the business revenue to $0."
1,1,3/10/2020,"Funds from this emergency grant will be used to pay rent and utility expenses while our facility cannot be open. At this time, our members are not being charged their monthly fees. Because of the loss of revenue, without this funding the facility is at risk of closing its doors."
2,2,3/10/2020,"Revenue loss of $15K; Not only have we seen our existing book of business dissolve, we're unable to meet clients and generate new revenues. Funds to pay for lease payments, rent and utilities."
1,1,3/23/2020,"Critical to retain business license, registration, bond & insurance"
1,1,3/1/2020,Non-Essential Business - Salon; Grant will allow owner to keep business running in the future.
2,0,3/10/2020,"Revenue loss of $20K, clients unalbe to pay rent; funds will be used for mortgage payment and utilities"
1,0,3/14/2020,"Revenue down 33%, As of this application, I do not have a live ecommerce website, but I am working on making
one. Since the majority of my sales and product is used items, purchased from customers, my in flow of
items has stopped, short of items imported from Japan. My landlords are not difuring, or granting any sort of relief for rent, dispite my business not being able to be open by the
governor's mandate. I am a single mother of one child, and this business is my only income.The funding will be used to pay rent, phone/internet, maintaining website/ecommerce shop, buying inventory, and marketing so my customers know I am able to do business online."
2,2,3/10/2020,"Business completely closed, this would have been busiest time"
1,0,3/1/2020,Significant drop in revenue
1,0,3/1/2020,"Funding will help me recover from lost income and help to cover fixed cost obligations during the anticipated ""stay at home"" order that has forced the temporary closure of my practice, have changed up business model for telehealth."
1,0,3/23/2020,"The effect of the public health crisis is that tenants have lost their jobs and unemployment is severely delayed which impacts their ability to pay rent, utilities, etc. which in turn inhibits the company to pay the mortgage, taxes, and insurance to stay compliant. Funding is critical because if we don't pay the mortgages, taxes, and insurance for these properties we will go into foreclosure and our tenants will be without a home."
1,1,3/15/2020,"$7k revenue loss; cosmetologist; no income coming in; funds would pay for Rent at the salon, product purchases, sanitation supplies, utilities, liability insurance, licensing."
1,1,3/19/2020,"By order of Gov. Inslee, all dental facilities were instructed to close with the exception to dental emergencies in order to help preserve PPE for the medial professionals that are fighting the outbreak . This has placed the clinic in a negative financial situation due to no revenue being generated during closure. As expected, fixed expenses are still owing, and facilities needing maintained. "
2,2,3/15/2020,"Husband/wife team that own and operate salon, mandate has prevented them from generating any income; funding used towards paying bills and keeping small business dreams alive"
5,5,3/15/2020,"Prosser clinic may need to permanently close due to lack of income; funds used would go towards rent, utilities, inventory, marketing"
6,6,3/7/2020,Had to close business down due to lack of business caused by Covid 19. Funding is critical to afford utilities /mortgage etc. 
7,4,3/1/2020,"Funds used for rent, utilities, restocking supplies, marketing"
10,7,3/16/2020,"The Childcare closed on March 24, after the stay at home order was issued. Since parents have to stay at home, many pulled their children out of the Childcare. A few families work in essential jobs such as the medical field but keeping the Childcare open with such low numbers is not stainable.  4 full-time & 2 part-time staff were furloughed.  The Preschool closed on March 16 as other schools around the state did.  2 part-time staff were furloughed."
8,7,17-Mar,"As a type of convention center, events were canceled or moved to a future date and the tasting room was closed for wine sales.  The wine industry is struggling due to the COVID-19 impact, but it was also suffering due to market glut, export decreases and international competition.  Keeping the doors open for the Center assists agriculture at a state level; educating and promoting WA wines and utilized as a hub for the industry.  ThThese funds will be used towards operating expenses including utilities & outstanding vendor invoices that were due during the shut-down directive."
7,7,3/18/2020,"Unable to see any patients, practice closed; funds used for rent, lab bills, inventory, utilities"
3,0,3/13/2020,"Wautoma Wines has been an entity since 2008, however we just opened our tasting room Dec 6, 2019.  We have one paid employee that operates the tasting room.  Because we just opened the tasting room this winter, we have had only a few months to generate business. We were looking forward to watching our business grow this Spring and Summer."
8,10,3/16/2020,"Revenue loss of $100k, funding is critical to keep our business alive, we have to pay overdue bills and rent.  With no money coming in, we are struggling to prioritize which bills to pay.  Funds will pay for rent and expenses."
3,0,3/14/2020,"Our lost revenue is April 2020 alone is estimated to be at least $45,000.  95% of our sales are from tasting room and event sales with both of those shut down are a barely making any money on take out and shipments.  no distribution as we are very small family run winery. Funds will be used for rent and expenses to bottle new inventory."
"7FT, 7PT","4FT, 7PT",3/16/2020,"Had 14 employees w/ monthly payroll of $40K and sales of $100K, serving 200 people a week. Are a major contributor to the local economy. Shutdown hit at the end of slow winter season so they are missing the peak season and will struggle to get through next winter due to loss of income."
4,3,3/15/2020,"Revenue down $15K; closed/no income; funds will pay fixed expenses - rent, utilities, inventory"
2.5,3,11/18/1900,"epending on the length of the shelter in home mandate, I  will lose taking in the $20,000 per month in average sales.  Impact will be felt 3/23 - 6/31; Busiest months for window cleaning is April - July. Because March was good weather wise but wasn't able to work the last week because of the shelter in home mandate.  Allocated funds would help to pay for  supplies, marketing and mortgage interest along with any other items that fall into the expense category that are allowed in this grant."
5,3,3/16/2020,"Revenue loss of $25k - greater in Quarter 2; funds would be used to buy supplies, pay utility bills, operating expenses and marketing expenses."
7,5,3/16/2020,"$16K base lost, plus $50K in catering contracts; funds used towards rent, utilities, order supplies and fund inventory (which has become harder and harder to acquire)"
7,1,4/5/2020,"Employee tested positive for COVID-19.  We have had extra expenses due to time spent and expenses sterilizing equipment, buildings and PPP.  Since 6 other employees have been exposed, we have no idea of the length of time and expense this will add up to."
3,3,3/14/2020,"$34K loss in Q1, greater losses expected; funds used towards rent, utilities, advertising agreements, materials"
3,0,3/16/2020,"Business closed, so no income"
4,0,3/15/2020,"Revenue dropped 60%; With the coronavirus crisis and the statewide lockdown, people aren't driving and are opting to get their
groceries from larger stores like Wal-mart. This has been very signifcant for our business as sales have
plummeted & expenses remain the same (about $12,000 a month). Unlike our neighboring competitors, we
are a locally owned & operated business that cannot bear the brunt of such a heavy longterm revenue loss. funds to pay for rent and operating expenses"
1,0,3/1/2020,"All flight training shutdown, expect severe long term negative impact; funds used for hangar lease from Port of Benton, utilities, insurance, aircraft maintenance"
3,3,3/1/2020,"Lost 95% of business, $10K/month lost revenue; funds used to pay utilities, marketing, supply restock"
3,0,1/31/2020,"All reservations for March, April, May and most of June have been cancelled. Funding critical to continue payment of basic services and expenses."
2,2,3/23/2020,"Non-essential business - salon; funds will pay for rent, power and utilities and purchase inventory."
1,1,2/1/2020,Funds are needed so the business can remain on standby to serve families in mental health crisis
1,0,3/15/2020,"50% drop in enrollment, expenses are up due to cleaning/sanitizing needs; funds would be used for mortage, utilities, cleaning supplies, marketing, training"
1,1,3/17/2020,"Non-essential business - salon; funds will pay for rent, power and utilities."
1,1,5/16/2020,Forced to close doors when deemed non-essential and lost all income
0,0,3/17/2020,"Closed salon due CDC's and Governor Inslee's directives. Allocated funds would help to pay mortgage on the building, utilities, back bar product, and retail supply for inventory. The funding is critical due to the operations of the salon and to continue to provide a space for 3 other people besides myself to be able to continue to work. Without my building we would lose a space to do our job and lose our clinetele; funding used for mortgage, utilities, inventory"
10,14,3/19/2020,"Loss of $63,939 in revenue, Q2 will be down $120K, mandated to only diagnosing and treating emergency patients, funds will go to rent & business loan payments."
7,10,3/17/2020,"Revenue loss of $58k, funds are needed to cover utilities, replacement of out of date products and spoilage."
6,6,3/26/2020,Revenue down $75K; funds used to pay overhead costs that have continued
6,0,3/16/2020,"Revenue decrease of nearly 40%, unable to support local charities, forced to reduce staff hours; funds would be used towards rent, maintaining inventory, marketing, etc."
14,14,3/18/2020,"$60K/month in lost revenue, technical school as well as retail store, unable to provide any instruction; funds used towards rent, utilities, inventory"
8,7,3/17/2020,"Only able to see emergency patients, revenue is at nearly $0; funds would be used for rent, utilities and service debt"
8,4,3/16/2020,"Revenue loss of $18K, We had to lay off our front of house staff and are operating with only 1 kitchen person. We have cut our hours back and are primarily serving dinner for takeout.  Our sales since March 16th have been  about 30% of what they should be this time of year. We will use the funds to pay our suppliers, rent and utilities."
10,0,2/29/2020,"Decrease in patients by 40%, increased costs due to disinfecting procedures, PPE needs, social distancing protocols"
7,9,3/24/2020,"Not currently generating any revenue, funds would help with basic expenses and replenishing stock used to make masks for donation"
8,8,3/18/2020,"Have had to lay off staff, funds have stopped; funding used for rent, utilities and office related bills"
5,1,3/15/2020,"Revenue down $56K; The company receives variable management fees based on a ""%"" of Gross Room Sales Revenue of Hotels which it manages. Hotel Revenues are close to approaching $0, resulting in almost no income for this business. Funds will be used to retain employees and pay rent"
5,5,3/16/2020,"We are shut down. We have laid off all the employees, our money will run out in April which will cover inventory that was purchased in Feb/March and other April expenses. The funds will be used to pay for rent and help cover some inventory costs. The rent is the main thing. Our rent alone is $5,000/month. We work on 30 day payables and when the revenue stops, it makes it very difficult to cover the basic expenses."
5,5,3/19/2020,Governor's order closed down all medical procedures except emergency care.  Lost 100% of revenue since shut down.
7,2,3/1/2020,"Revenue down $12K; Due to the effect of the public health crisis COVID-19 we have lost major revenue, with 7 of our ongoing previous construction projects on hold until further notice, due to the pandemic.  This funding will be critical in helping our company subsidize, rent, utilities, and supplies/inventory to continue working. "
7,1,3/16/2020,"Funding is critical to allow us to purchase much needed medical supplies so that we can continue to test and treat our first responders, additional funding will go towards utilities, lease, insurance, etc."
4,2,3/8/2020,"Forced to cancel marketing events, 60% drop in retail sales"
2,4,3/16/2020,"If current pace continues, revenue will be down 100%; funds used to make the lease payments"
7,7,3/23/2020,"As I  stated above our employees have been with us for several years with our son and son in law included so not only do we look at them as family they are. This grant money would ease the burden of trying to come up with the money to pay the ongoing expenses like insurance, power, phone and internet cost; revenue impact 60% for Q2"
10,10,3/23/2020,"Normally busiest time of year; funds used for marketing, supply purchases, staff training"
7,12,11/14/1900,"Revenue loss is $150k per month, mandated closure of dental office; funds will cover past due invoices, utilities, rent, and supplies"
8,0,3/1/2020,"50% drop in patients/revenue, expect difficulties meeting payroll in the coming weeks"
6,10,3/19/2020,"Closed since 3/19, only able to provide emergency services, expect significant Q2 losses; funds used towards basic operating costs, dental supplies, advertising, lab fees"
3,2,3/24/2020,"Allocated funds will allow us stay current on rent and utilities while our doors are closed. Without assistance, we face a devastating monthly rent amount and no sales income to help us offset the fixed costs of business. We moved into this location in August of 2018 and have a long term lease.  Funds will be used for May and June rent, which is $7,016 monthly."
4,4,3/26/2020,"All employees furloughed, owner paying out of pocket for employee medical, rent, property & liability insurance, utilities"
5,5,3/23/2020,"When the order came out for all non-essential businesses to shut down they applied to remain open, but the State ordered them to shut down. The business is seasonal and relies on the spring months to replenish the savings used during the slower winter months when business revenue decreases 80%-90% compared to spring, summer and fall. The shutdown occurred during the spring time when our savings has already been depleted from the slow winter months. The business is the only income to support the family as the husband runs the business and the wife is a stay at home mother. I was denied unemployment benefits. I have a lowered immune system due to receiving medical infusions for Crohn's disease and also has high blood pressure so the conditions place me into a high risk with Covid 19. With no money coming in as income for our business we will not be able to make payments for basic needs such as utilities, mortgage, insurance, medical bills and food."
3,0,3/15/2020,"Funds used towards rent, utilities, web hosting, ticket management"
5,4,3/17/2020,"Loss of 50% of revenue; funds will go towards paying rent, utilities, supplies, product, and other operational expense."
8,3,3/5/2020,"Loss of $34K/month, not able to admit new clients, have lost employees due to possible exposure; funds used for PPE supplies, food"
8,3,2/27/2020,Revenue down over $100K; non-essential auto detailer; funds will pay for operating expenses
5,5,3/15/2020,"Payroll, taxes, pay bills and vendors, keep license up to date"
2.5,1.5,3/20/2020,"Revenues down 25% for Q1, anticipating 50% loss for Q2; funding will be used for 2 months operating expenses including rent, utilities, phone/internet"
10,10,3/1/2020,"Served the area for 43 years, espect 85% loss in revenue in April 2020; funding will be used for rent, utilities, supplies"
10,8,3/16/2020,"Grant will help pay rent, utilities, vendors; current loss of over $200,000 in revenue"
1,4,3/16/2020,I have had to let all of my employees go.  I have had to shut my doors to the public and the landlord is not giving any repreeve on the rent which is 2830. and I have to pay all the utilites and expense at this crisis carries on
7,0,3/18/2020,Funds will be used to continue to pay various operational costs that have continued while everything else has stopped
5,4,3/20/2020,"Our 2nd quarter will be affected substantially. We have $10,000 owed to us in A/R, however with these business also being affected I am not sure if or when we will get paid.  The months of April and May combined gross average revenue is $96741.00. I am projecting this year to be negative. Funds would be used to help issue refunds to customers who have canceled their reservation with us.  Not including what has already been issued, $5000.00 is still owed to individuals. I would use a portion to pay Feb. sales tax of $2408.67, the remaining balance would go towards 1st quarters taxes. "
9,9,3/25/2020,"No federal/state projects so no current projects, additional funding would allow purchase of materials for upcoming jobs"
3,1,3/1/2020,"Revenue is dependent on clients, revenue down 25%; funds used to pay rent and other utilities"
7,?,3/13/2020,"Sales decreased by 50%, hours cut for staff, funding would allow them to bring staff back to their full hours"
2,3,3/16/2020,"Consignment shop; funds will be used for lease, utilities, supplies, training, merchant fees, inventory, marketing and consignors."
7,6,3/17/2020,We are only allowed to do emergency and pain care. we are maybe seeing 1-3 people a day versus the 30-40 people we see normally.
8,8,3/25/2020,"We have been forced to temporarily close our doors because of COVID-19. This has proven a massive setback in our business, as we still have bills to pay (like rent, utilities, bookkeeping and accounting fees, software and subscription costs to operate, etc). It is scary to try to keep this business alive when there is no income coming in"
3,3,3/15/2020,Revenue down $7.5K.  We were of the first group of businesses to close and have been incurring no revenue since March 15th and will not be able to again until at least May 4th as per the current business restrictions.  Without some sort of relief we will not be able to pay our month obigations to remain open after the crisis has passed.We will only be using this assistance to keep the business from folding during the crisis by using it for rent and utilities.
3,2,2/17/2020,"Revenue loss of $35K; By mid February, customers were canceling existing purchase orders for future events, that were already in the process of being made.  Non-essential businesses that we sell to, were closing, and also canceled pending orders for St. Patricks Day and Easter, all product that we had already made.  Any funds could help us pay for the supply costs that we already acquired, and the monthly fixed and variable  costs that our business incurs.  (utilities, association fees, website fee, essential supplies) "
7,0,2/23/2020,Due to Covid19 alot of our  fleet business that we serve have been shut down and can't pay their bills.  This grant will help us pay rent and suppliers that we have already installed parts from on customer vehicles.
4,2,3/1/2020,Our major customers are small businesses and community events.  Most have been closed due to the Governor's mandate.  Currently income has dropped by approximately 90%.  These funds would be used to pay rent and equipment leases to ensure that we are positioned to rehire and restart as soon as the stay at home order is lifted. 
9,9,3/17/2020,"As the owner I depend on my booth renters to pay for there space so I can pay the overhead. I did not charge them for April and I will owe them half of a month from March, whenever we can go back. Aqua has no outstanding debt of any kind. I just need help paying the $2800 month rent for the lease, so I don't burden my building owner. I am unable to do my job as well so with no income it is essential for me to get some kind of assistance. We will be busy when we can get back. We can't wait! Thank you!"
6,16,3/15/2020,"Revenue Loss of $50K; with wineries and schools closed, and corporations are not doing events, no sources of income; funds will pay for vehicle insurance, rent, fuel, online advertising, and utility bills."
4,3,3/25/2020,"We've been forced to cut hours to nearly nothing for our employees as well as close our doors to the public. We've taken some phone orders but we're down thousands of dollars a week in revenue. We no longer have a cash flow to maintain salaries and building maintenance/essential bills. Funding is critical to meet financial needs to keep up with building maintenance and daily operations, and pay the few who are working limited hours during this time. Without funding, we don't have the needs to pay employees and do what we need to do before we're able to open our doors to the public again."
5,0,3/20/2020,"Retail business is gone, using reserve funds to maintain payroll; funding will go towards accounts payable"
8,6,3/18/2020,Down $15K; unalbe to earn income as a non-essential business; funds will pay for rent and equipment loans
3,0,3/10/2020,"Revenue down 30%; funds would go towards operational expenses, inventory"
6,0,3/18/2020,"Loss of $15k; funding - $6,000.00 to ensure our employees are trained for remote working (the average cost is approximately $1,000.00 per employee).  We would use $1,000.00 for additional marketing.  The remaining $3,000.00 we would use to help offset our monthly operations costs."
4,12,3/1/2020,Revenue down 13%; Started losing sales beginning of march and loss of $19k in sales for the quarter of 2020 compared to last year; marily operate.  We couldn't do take out or delivery after the mall closed and couldnt produce any sales.  The money will help offset our operating monthly expenses to be able to get our intial sales going since it will be a slow process to get back to where we once were.
4,2,3/13/2020,"Owners are placing projects on hold, delaying or canceling due to the unforeseen economic impact on their money and resources.  Funding would assist us in weathering these uncertain times; funds used for rent, utilities, consulting,, marketing"
4,2,3/1/2020,"Our case load has drastically been reduced due to the effects of the corona virus and the stay at home, stay healthy orders. Many of our customers are not working right now and not traveling, ie., not servicing their vehicles. We have been an important part of down town Kennewick for over 20 years and have never even had to low census and imployee until this pandemic. We would sincerely appreciate any help we can get from our great state! We literally have only one job on our work schedule for all of next week at this time."
2.5,4,3/15/2020,"Closed since 3/16, 92% loss of revenue; funding would be used to take care of accounts payable and allow for succesful reopening"
4,4-Mar,3/17/2020,"Revenue loss of ~$20K, Q2 will be at least $100K less revenue, mandated to close for 2 months and the effects could last much longer.  Funds will pay for rent, supplies, utilities"
4,3,3/18/2020,"Dental office was forced to close due to COVID crisis. Need grant funding to pay creditors, rent, utilities, supplies."
8,5.5,3/18/2020,"Revenue loss of $29,299.61, The Washington Department of correction is our only client.  Until restrictions have been lifted, there will be no work.  Funds will pay general operational expenses and training."
11,11,3/17/2020,"$350K in lost revenue, all employees laid off; funds used for rent and utilities"
4,23,3/15/2020,"Revenue down $83K; As of 4/8/20 we have missed out on $108,000 of potential sales. This funding is critical so we can continue to pay rent and other fixed costs (such as utilities) and re-open when allowed. Funds will be used to pay rent and other fixed costs."
3,2,3/12/2020,"Revenue down $14,681.14, stay home order caused patients to quit coming in to office; funds will pay for rent, utilities, inventory"
4.5,0,3/16/2020,"Loss of revenue is $25k; funds will be used for loan payments, building lease, operating expenses"
2,7,3/1/2020,"Revenue loss of $40K, lost 60% of sales for March; We located in the mall, rent is very expensive and the mall closed since March 18 due to the COVID-19, we lost 60% sales and there are some unpaid payments such as rent, utilities bills, inventory supplies, advertisment fee... If we can get help from funding, we can make those unpaid payments and put us back on business without discontinue services. We will used funds to pay for our behind payments such as utilities bills, unpaid inventory from seller, and part of the rent"
6,0 (hours reduced),3/16/2020,"Employee 100% people/week with temporary & long term employment; funds would be used to cover rent, marketing, other expenses"
9,7,3/17/2020,"Small construction company with no money coming in. Funds will go towards fuel expenses, operating expenses - insurance, utilities and rent"
4,0,3/23/2020,"Revenue loss of $450K; Governor Inslee's 'Stay Home, Stay Healthy' order stopped construction on Single Family Homes in Washington which is our primary source of revenue. Therefore we're unable to create new inventory for sale. Until the order is lifted we'll experience significant carrying costs, repair expenses, and loss of sales
caused by this delay. Funds will be used for operational expenses including carrying costs on existing homes under
construction, supplies, and repairs and construction costs on that inventory."
13,13,3/16/2020,"Funds will cover rent and utilities, other business related subscriptions"
1,1,3/27/2020,"Quarter 2 will be affected and reduced by $100k, pandemic has shut down all of the offices which I serve.  No income to cover on-going business expenses.  Funds will go towards health and malpractice insurance premiums, tax payments, utility payments, medical equipment maintenance, retirement funding obligations"
4,5,3/16/2020,"We were open 7 days a week a minimum of 11 hours average a day. We fed our local community, we hosted cancer benefits for ppl and for our local cancer center. The shut down meant we had to lay ppl off as we could not operate with a full crew at any given time. This grant will allow me to pay some to come to work and possibly let  us extend our hours and maybe get some of them off unemployment"
5,0,3/12/2020,"Revenue down ~31%, funding will pay for rent, utilities, safety supplies, inventory, training and marketing. "
5,4,3/1/2020,"Revenue down 60%, current contracts for graphic design have been cancelled or postponed; funds would pay for vendors, equipment payments, advertising/marketing and utilities"
6,5,3/17/2020,"90% reduction in revenue, all emloyees laid off."
7,7,3/1/2020,"$5k loss; the salon pays for all operational expenses for 7 independent contractors. Funds will go towards paying these expenses, so the contractors have a place to work."
6,3,3/15/2020,"Loss of $66.5K; funds would help pay vendors - utilities, rent, material expenses on credit and advertising"
3,0,3/15/2020,"Potential loss of $6k-10k; funding used for daily costs to keep doors open - rent, utilities, parts/supplies and marketing"
3,8,3/18/2020,"Unable to perform routine eye exams, provide ongoing medical care; funding will go towards rent, utilities, PPE supplies and training, reconfigure space for COVID-19 guidelines"
3,0,3/18/2020,"We have already seen a $20,000.00 decrease in revenue since March 18, 2020 as a direct result of the Govenor's order to stay at home.  Funding would be used for training, marketing, utilities, and rent."
1,7,3/11/2020,"NOT ONLY HAS IT SHUT DOWN MY BUSINESS, BUT ALSO THE MOVIE THATER THAT I SHARE A PARKING LOT WITH THAT I RELY ON FOR TRAFFIC FLOW AND BUSINESS. THE FUNDS WOULD BE USED TO GET CURRENT WITH LEASE MONEY OWED, PURCHASING PRODUCT/INVENTORY AND UTILITIES."
10,8,3/22/2020,"Funding is critical to our small business and the livelihood of our employees who are members of our community. If this grant is awarded to us, this would allow to have adequate payroll funds to get us back to our customers and back to work."
9,3,3/25/2020,"Funds used for rent, utilities, training"
9,8,3/20/2020,"Pay rent, utilities, develop online content"
6,2,2/25/2020,"Loss of Revenue of $20K, number of customers have shut down causing a large gap in the need for our services, two projects put on hold; funds will be used to help keep employees on payroll until customers are back up and running"
5,5,3/9/2020,"Customers stopped calling to request for services completely in the beginning of March, and then shortly there after, current projects that we where working on also had to be stopped as mandated by our State.  This has affected income from March and now April"
1,9,3/25/2020,"Funds used for lease bond and GL, engineering consulting, other aggregate monthly expenses"
10,7,3/23/2020,"We've never had to lay anyone off in 28 years. We'd use funds to pay utility bills, mortgages, etc. "
2,1,3/18/2020,"Revenue loss of $19,008.63; funds will go directly to fixed expenses - lease, utilities, and purchase of supplies/inventory."
7,7,3/26/2020,"Customers requesting refunds due to shutdown which had already been used to purchase supplies, April contracts cancelled; funds used mortgage, utilities, advertising, outstanding invoices"
4,0,3/15/2020,"Revenue loss of $57,855;created financial hardship in the day to day operation with loosing orders for supplies and loosing further on consultancy needs.  Funds will pay for utilities, marketing to hotels for increasing business/occupancy and consultance to hoteliers for better performance."
10,8,3/26/2020,"$100K revenue loss, due to stay home order, limited in what we can do, monthly fixed overhead not including laber is $22k; funds will be used for lease, insurance, marketing, utilities, and interest expense"
7,6,3/16/2020,"Closed until 5/18, continuing to pay staff but not self; funding used for rent, service loans, utilities, etc."
4,2,3/1/2020,"Doors are closed, were doing no contact delivery until ordered to close completely"
5,3,3/18/2020,"Q1 down 15%, Q2 expected to be worse; funds used for rent and utilities for two locations"
6,0,3/17/2020,Courts have closed regular dockets and access to judicial system so has dropped work availability.
2,6,3/1/2020,"Forced closure due to being considered non-essential. Unable to pay obligations (rent, utilities, insurance etc) or payroll. Unable to pay obligations (rent, utilities, insurance etc) or payroll. We are able to minimally operate safely and following CDC guidelines to build website and maintain physical store inventory."
10,7,3/18/2020,"Full business closure, only able to provide emergency services; funds used for overhead expenses - rent, utilities, marketing"
3,2,3/1/2020,"Taproom & wholesale accounts closed, doing few to go orders, 50% less in revenue; funding would allow bills to be paid and business model changes"
4,4,3/16/2020,"Restaurant - closed and unable to earn income; funds will pay rent, utilities, expenses"
8,2,2/15/2020,"Revenue lost $787,663.80; non essential business, can not finish home constructions; funds will pay for rent, utilities, interst on construction loans"
5,0,3/13/2020,"Loss of $9k, and losing over $5k a month, without the income from services we are in danger of letting staff go or closing; funds will pay monthly expenses such as rent, utility bills, supplies and other reoccuring operational expenses."
1,0,3/10/2020,"Only allowed to perform emergency and strictly medical services; funds used for lease, utilities, marketing, sanitation supplies"
8,0,2/1/2020,"We have dropped to an all time low.  The money will be used for taxes, utilities and inventory"
6,6,3/16/2020,"Revenue loss of 100%; funds will pay for rent, operating expenses and inventory/supplies"
10,1,3/27/2020,"Decrease in occupancy, hardship in buying necessary supplies; funds will be used for utilities as well as essential operating supplies"
1,5,3/15/2020,"Loss of 50% of business income; funds would go towards payments to vendors, lenders, retain staff"
5,4,3/16/2020,"Have had to lay off staff, funds would assist with training for helping other business affected by COVID-19"
4,3,3/23/2020,"Loss of $30K revenue - non-essential business - construction; funds to pay for rent, insurance, materials"
3,3,3/27/2020,"Funds used for lease, supplies, and utilities"
6,3,3/24/2020,Revenue down 40%; paying incoming bills
11,0,3/23/2020,"Revenue loss of $10k; funds will be used for inventory, outstanding invoices and day to day operation expenses"
10,10,3/24/2020,We have been closed since 3/24. Our business makes the majority of its money during the spring/summer months. This revenue helps the business make it through the winter. This grant money would help us supplement the loss and keep us in business
6,4,3/12/2020,91% decrease in service calls; funding used for day to day operational costs
7,3,3/10/2020,Decrease in sales by over 50%; funds would go towards lease and utilities
7,7,3/16/2020,"Q1 Revenue loss is $10k, Q2 is expected to be $80k, funds will be used for rent."
4,0,3/30/2020,"The biggest impact has occurred from latter March into April as the stay at home order is affecting more citizens who are no longer calling to have their vehicles serviced. We will see decreased gross sales in April, specifically. The first and second week of April have been the first days where no services were scheduled for clients making the daily deficit roughly $3500.  Funds will be allocated toward monthly overhead: Mortgage: Columbia Bank, All Data automotive processing system, Shepherd and Shepherd Insurance, Utilities, and advertising. "
2,1,3/13/2020,Clients being forced to close has resulted in projects on hold or cancelled; funds used for rent and monthly non-payroll expenses
1,0,3/17/2020,"8 other stylists in this location, revenue down approx $4K; funds would be used for lease payments of building and overhead expenses"
2,2,3/25/2020,"Loss of $13K in revenue, been covering wages for employees; funds used for auto & liability insurance, taxes, marketing"
7,7,3/16/2020,"Salon isn't generating any revenue from booth rental, stylists, etc; funds are needed to continue to waive rental fees for other stylists to relieve stress"
